2026-02-22 14:24:33,293 | INFO | data_mapping_app | Testing MSSQL connection | context={'host': 'localhost\\SQLEXPRESS', 'port': 1433, 'database': 'SQLlearning', 'user': 'Admin_test', 'password': '***', 'schema': 'dbo', 'auth_type': <MssqlAuthType.sql: 'sql'>, 'driver': None, 'resolved_server': 'localhost\\SQLEXPRESS'}
2026-02-22 14:27:51,142 | INFO | data_mapping_app | Testing MSSQL connection | context={'host': 'localhost\\SQLEXPRESS', 'port': 1433, 'database': 'SQLlearning', 'user': 'Admin_test', 'password': '***', 'schema': 'dbo', 'auth_type': <MssqlAuthType.sql: 'sql'>, 'driver': None, 'resolved_server': 'localhost\\SQLEXPRESS'}
2026-02-22 14:28:13,749 | INFO | data_mapping_app | Testing MySQL connection | context={'host': 'localhost', 'port': 3306, 'database': 'myrelatives', 'user': 'root', 'password': '***', 'schema': None}
2026-02-22 14:40:29,094 | INFO | data_mapping_app | Testing MSSQL connection | context={'host': 'localhost\\SQLEXPRESS', 'port': 1433, 'database': 'SQLlearning', 'user': 'Admin_test', 'password': '***', 'schema': 'dbo', 'auth_type': <MssqlAuthType.sql: 'sql'>, 'driver': None, 'resolved_server': 'localhost\\SQLEXPRESS'}
2026-02-22 14:40:53,532 | INFO | data_mapping_app | Testing MySQL connection | context={'host': 'localhost', 'port': 3306, 'database': 'myrelatives', 'user': 'root', 'password': '***', 'schema': None}
2026-02-22 15:00:44,592 | INFO | data_mapping_app | Testing MSSQL connection | context={'host': 'localhost\\SQLEXPRESS', 'port': 1433, 'database': 'SQLlearning', 'user': 'Admin_test', 'password': '***', 'schema': 'dbo', 'auth_type': <MssqlAuthType.sql: 'sql'>, 'driver': None, 'resolved_server': 'localhost\\SQLEXPRESS'}
2026-02-22 15:01:04,090 | INFO | data_mapping_app | Testing MySQL connection | context={'host': 'localhost', 'port': 3306, 'database': 'myrelatives', 'user': 'root', 'password': '***', 'schema': None}
2026-02-22 15:01:08,417 | INFO | data_mapping_app | UI mapping generation succeeded | desktop_path=C:\Users\ravit\Desktop\mapping_sheet_20260222_150108.xlsx
2026-02-22 15:33:05,317 | INFO | data_mapping_app | Testing MSSQL connection | context={'host': 'localhost\\SQLEXPRESS', 'port': 1433, 'database': 'SQLlearning', 'user': 'Admin_test', 'password': '***', 'schema': 'dbo', 'auth_type': <MssqlAuthType.sql: 'sql'>, 'driver': None, 'resolved_server': 'localhost\\SQLEXPRESS'}
2026-02-22 15:33:07,191 | INFO | data_mapping_app | Testing MySQL connection | context={'host': 'localhost', 'port': 3306, 'database': 'myrelatives', 'user': 'root', 'password': '***', 'schema': None}
2026-02-22 15:33:10,911 | INFO | data_mapping_app | UI mapping generation succeeded | desktop_path=C:\Users\ravit\Desktop\mapping_sheet_20260222_153310.xlsx
2026-02-22 15:50:10,157 | INFO | data_mapping_app | Testing MySQL connection | context={'host': 'localhost', 'port': 3306, 'database': 'myrelatives', 'user': 'root', 'password': '***', 'schema': None}
2026-02-22 15:50:48,974 | INFO | data_mapping_app | Testing MSSQL connection | context={'host': 'localhost\\SQLEXPRESS', 'port': 1433, 'database': 'SQLlearning', 'user': 'Admin_test', 'password': '***', 'schema': 'dbo', 'auth_type': <MssqlAuthType.sql: 'sql'>, 'driver': None, 'resolved_server': 'localhost\\SQLEXPRESS'}
2026-02-22 15:50:53,164 | INFO | data_mapping_app | UI mapping generation succeeded | desktop_path=C:\Users\ravit\Desktop\mapping_mohansai_relatives_to_mohansai_relatives_20260222_155053.xlsx
2026-02-23 09:16:58,381 | INFO | data_mapping_app | Testing MySQL connection | context={'host': 'localhost', 'port': 3306, 'database': 'myrelatives', 'user': 'root', 'password': '***', 'schema': None}
2026-02-23 09:17:39,262 | INFO | data_mapping_app | Testing MSSQL connection | context={'host': 'localhost\\SQLEXPRESS', 'port': 1433, 'database': 'SQLlearning', 'user': 'Admin_test', 'password': '***', 'schema': 'dbo', 'auth_type': <MssqlAuthType.sql: 'sql'>, 'driver': None, 'resolved_server': 'localhost\\SQLEXPRESS'}
2026-02-23 09:17:42,564 | INFO | data_mapping_app | UI mapping generation succeeded | desktop_path=C:\Users\ravit\Desktop\mapping_mohansai_relatives_to_mohansai_relatives_20260223_091742.xlsx
